Projects	Period	extraction_offshore_share_ub	extraction_shale_share_ub	extraction_surface_ub	extraction_offshore_share_lb	extraction_shale_share_lb	extraction_surface_lb
Coal	2020	1	1	0.6600	0	0	0.6400
Coal	2022	1	1	0.7040	0	0	0.6006
Coal	2025	1	1	0.7262	0	0	0.5652
Coal	2030	1	1	0.7462	0	0	0.5333
Coal	2035	1	1	0.7642	0	0	0.5046
Coal	2040	1	1	0.7805	0	0	0.4787
Coal	2045	1	1	0.7950	0	0	0.4555
Coal	2050	1	1	0.8082	0	0	0.4345
Coal	2055	1	1	0.8200	0	0	0.4157
Coal	2060	1	1	0.8306	0	0	0.3987
Coal	2065	1	1	0.8402	0	0	0.3835
Coal	2070	1	1	0.8488	0	0	0.3697
Coal	2075	1	1	0.8566	0	0	0.3574
Coal	2080	1	1	0.8635	0	0	0.3463
Coal	2085	1	1	0.8698	0	0	0.3363
Coal	2090	1	1	0.8755	0	0	0.3272
Coal	2095	1	1	0.8805	0	0	0.3191
LNG	2020	0.0700	0.4000	1	0.0500	0.3000	0
LNG	2022	0.0747	0.4267	1	0.0469	0.2815	0
LNG	2025	0.0789	0.4507	1	0.0442	0.2649	0
LNG	2030	0.0826	0.4723	1	0.0417	0.2500	0
LNG	2035	0.0860	0.4917	1	0.0394	0.2365	0
LNG	2040	0.0891	0.5092	1	0.0374	0.2244	0
LNG	2045	0.0919	0.5249	1	0.0356	0.2135	0
LNG	2050	0.0943	0.5391	1	0.0339	0.2037	0
LNG	2055	0.0966	0.5519	1	0.0325	0.1949	0
LNG	2060	0.0986	0.5634	1	0.0312	0.1869	0
LNG	2065	0.1004	0.5737	1	0.0300	0.1798	0
LNG	2070	0.1020	0.5830	1	0.0289	0.1733	0
LNG	2075	0.1035	0.5914	1	0.0279	0.1675	0
LNG	2080	0.1048	0.5989	1	0.0271	0.1623	0
LNG	2085	0.1060	0.6057	1	0.0263	0.1576	0
LNG	2090	0.1071	0.6118	1	0.0256	0.1534	0
LNG	2095	0.1080	0.6173	1	0.0249	0.1496	0
Oil	2020	0.2100	0.4000	1	0.1900	0.3000	0
Oil	2022	0.2240	0.4267	1	0.1783	0.2815	0
Oil	2025	0.2366	0.4507	1	0.1678	0.2649	0
Oil	2030	0.2479	0.4723	1	0.1583	0.2500	0
Oil	2035	0.2581	0.4917	1	0.1498	0.2365	0
Oil	2040	0.2673	0.5092	1	0.1421	0.2244	0
Oil	2045	0.2756	0.5249	1	0.1352	0.2135	0
Oil	2050	0.2830	0.5391	1	0.1290	0.2037	0
Oil	2055	0.2897	0.5519	1	0.1234	0.1949	0
Oil	2060	0.2958	0.5634	1	0.1184	0.1869	0
Oil	2065	0.3012	0.5737	1	0.1138	0.1798	0
Oil	2070	0.3061	0.5830	1	0.1098	0.1733	0
Oil	2075	0.3105	0.5914	1	0.1061	0.1675	0
Oil	2080	0.3144	0.5989	1	0.1028	0.1623	0
Oil	2085	0.3180	0.6057	1	0.0998	0.1576	0
Oil	2090	0.3212	0.6118	1	0.0972	0.1534	0
Oil	2095	0.3241	0.6173	1	0.0947	0.1496	0
