BATTERY_CAPITAL_COST_YEARS	battery_capital_cost_per_mwh_capacity_by_year
2016	530000
2017	484283
2018	438087
2019	399061
2020	364071
2021	339340
2022	317167
2023	299203
2024	282641
2025	269127
2026	256002
2027	244901
2028	234920
2029	226008
2030	218117
2031	210434
2032	203706
2033	197889
2034	191489
2035	186678
2036	181278
2037	176697
2038	172222
2039	167850
2040	164231
2041	160046
2042	156588
2043	153201
2044	149885
2045	146639
2046	142469
2047	138833
2048	135196
2049	131560
2050	127924
2051	124287
2052	120651
2053	117015
2054	113378
2055	109742
2056	109193.3519
2057	108647.3851
2058	108104.1482
2059	107563.6274
2060	107025.8093
2061	106490.6803
2062	105958.2269
2063	105428.4357
2064	104901.2935
2065	104376.7871
2066	103854.9031
2067	103335.6286
2068	102818.9505
2069	102304.8557
2070	101793.3314
2071	101284.3648
2072	100777.9430
2073	100274.0533
2074	99772.6830
2075	99273.8196
2076	98777.4505
2077	98283.5632
2078	97792.1454
2079	97303.1847
2080	96816.6688
2081	96332.5854
2082	95850.9225
2083	95371.6679
2084	94894.8095
2085	94420.3355
2086	93948.2338
2087	93478.4926
2088	93011.1002
2089	92546.0447
2090	92083.3145
2091	91622.8979
2092	91164.7834
2093	90708.9595
2094	90255.4147
2095	89804.1376
