TIMESERIES	ts_period	ts_duration_of_tp	ts_num_tps	ts_scale_to_period
20200202	2020	2	12	121.75
20200402	2020	2	12	121.75
20200602	2020	2	12	121.75
20200802	2020	2	12	121.75
20201002	2020	2	12	121.75
20201202	2020	2	12	121.75
20220206	2022	2	12	182.625
20220406	2022	2	12	182.625
20220606	2022	2	12	182.625
20220806	2022	2	12	182.625
20221006	2022	2	12	182.625
20221206	2022	2	12	182.625
20250210	2025	2	12	304.375
20250410	2025	2	12	304.375
20250610	2025	2	12	304.375
20250810	2025	2	12	304.375
20251010	2025	2	12	304.375
20251210	2025	2	12	304.375
20300214	2030	2	12	304.375
20300414	2030	2	12	304.375
20300614	2030	2	12	304.375
20300814	2030	2	12	304.375
20301014	2030	2	12	304.375
20301214	2030	2	12	304.375
20350218	2035	2	12	304.375
20350418	2035	2	12	304.375
20350618	2035	2	12	304.375
20350818	2035	2	12	304.375
20351018	2035	2	12	304.375
20351218	2035	2	12	304.375
20400222	2040	2	12	304.375
20400422	2040	2	12	304.375
20400622	2040	2	12	304.375
20400822	2040	2	12	304.375
20401022	2040	2	12	304.375
20401222	2040	2	12	304.375
20450126	2045	2	12	152.1875
20450226	2045	2	12	152.1875
20450326	2045	2	12	152.1875
20450426	2045	2	12	152.1875
20450526	2045	2	12	152.1875
20450626	2045	2	12	152.1875
20450726	2045	2	12	152.1875
20450826	2045	2	12	152.1875
20450926	2045	2	12	152.1875
20451026	2045	2	12	152.1875
20451126	2045	2	12	152.1875
20451226	2045	2	12	152.1875
20500202	2050	2	12	304.375
20500402	2050	2	12	304.375
20500602	2050	2	12	304.375
20500802	2050	2	12	304.375
20501002	2050	2	12	304.375
20501202	2050	2	12	304.375
20550206	2055	2	12	304.375
20550406	2055	2	12	304.375
20550606	2055	2	12	304.375
20550806	2055	2	12	304.375
20551006	2055	2	12	304.375
20551206	2055	2	12	304.375
20600210	2060	2	12	304.375
20600410	2060	2	12	304.375
20600610	2060	2	12	304.375
20600810	2060	2	12	304.375
20601010	2060	2	12	304.375
20601210	2060	2	12	304.375
20650214	2065	2	12	304.375
20650414	2065	2	12	304.375
20650614	2065	2	12	304.375
20650814	2065	2	12	304.375
20651014	2065	2	12	304.375
20651214	2065	2	12	304.375
20700218	2070	2	12	304.375
20700418	2070	2	12	304.375
20700618	2070	2	12	304.375
20700818	2070	2	12	304.375
20701018	2070	2	12	304.375
20701218	2070	2	12	304.375
20750222	2075	2	12	304.375
20750422	2075	2	12	304.375
20750622	2075	2	12	304.375
20750822	2075	2	12	304.375
20751022	2075	2	12	304.375
20751222	2075	2	12	304.375
20800126	2080	2	12	152.1875
20800226	2080	2	12	152.1875
20800326	2080	2	12	152.1875
20800426	2080	2	12	152.1875
20800526	2080	2	12	152.1875
20800626	2080	2	12	152.1875
20800726	2080	2	12	152.1875
20800826	2080	2	12	152.1875
20800926	2080	2	12	152.1875
20801026	2080	2	12	152.1875
20801126	2080	2	12	152.1875
20801226	2080	2	12	152.1875
20850218	2085	2	12	304.375
20850418	2085	2	12	304.375
20850618	2085	2	12	304.375
20850818	2085	2	12	304.375
20851018	2085	2	12	304.375
20851218	2085	2	12	304.375
20900222	2090	2	12	304.375
20900422	2090	2	12	304.375
20900622	2090	2	12	304.375
20900822	2090	2	12	304.375
20901022	2090	2	12	304.375
20901222	2090	2	12	304.375
20950126	2095	2	12	152.1875
20950226	2095	2	12	152.1875
20950326	2095	2	12	152.1875
20950426	2095	2	12	152.1875
20950526	2095	2	12	152.1875
20950626	2095	2	12	152.1875
20950726	2095	2	12	152.1875
20950826	2095	2	12	152.1875
20950926	2095	2	12	152.1875
20951026	2095	2	12	152.1875
20951126	2095	2	12	152.1875
20951226	2095	2	12	152.1875
