Projects	Period	extraction_offshore_share_ub	extraction_shale_share_ub	extraction_surface_ub	extraction_offshore_share_lb	extraction_shale_share_lb	extraction_surface_lb
Coal	2020	1.00000000	1.00000000	0.66000000	0	0	0.6400
Coal	2022	1.00000000	1.00000000	0.70400000	0	0	0.6006
Coal	2025	1.00000000	1.00000000	0.72623158	0	0	0.5652
Coal	2030	1.00000000	1.00000000	0.74624000	0	0	0.5333
Coal	2035	1.00000000	1.00000000	0.76424758	0	0	0.5046
Coal	2040	1.00000000	1.00000000	0.78045440	0	0	0.4787
Coal	2045	1.00000000	1.00000000	0.79504054	0	0	0.4555
Coal	2050	1.00000000	1.00000000	0.80816806	0	0	0.4345
Coal	2055	1.00000000	1.00000000	0.81998284	0	0	0.4157
Coal	2060	1.00000000	1.00000000	0.83061613	0	0	0.3987
Coal	2065	1.00000000	1.00000000	0.84018610	0	0	0.3835
Coal	2070	1.00000000	1.00000000	0.84879907	0	0	0.3697
Coal	2075	1.00000000	1.00000000	0.85655074	0	0	0.3574
Coal	2080	1.00000000	1.00000000	0.86352724	0	0	0.3463
Coal	2085	1.00000000	1.00000000	0.86980610	0	0	0.3363
Coal	2090	1.00000000	1.00000000	0.87545707	0	0	0.3272
Coal	2095	1.00000000	1.00000000	0.88054294	0	0	0.3191
LNG	2020	0.07000000	0.40000000	1.00000000	0.0500	0.3000	0
LNG	2022	0.07466667	0.42666667	1.00000000	0.0469	0.2815	0
LNG	2025	0.07886667	0.45066667	1.00000000	0.0442	0.2649	0
LNG	2030	0.08264667	0.47226667	1.00000000	0.0417	0.2500	0
LNG	2035	0.08604867	0.49170667	1.00000000	0.0394	0.2365	0
LNG	2040	0.08911047	0.50920267	1.00000000	0.0374	0.2244	0
LNG	2045	0.09186609	0.52494907	1.00000000	0.0356	0.2135	0
LNG	2050	0.09434614	0.53912083	1.00000000	0.0339	0.2037	0
LNG	2055	0.09657820	0.55187541	1.00000000	0.0325	0.1949	0
LNG	2060	0.09858704	0.56335454	1.00000000	0.0312	0.1869	0
LNG	2065	0.10039501	0.57368575	1.00000000	0.0300	0.1798	0
LNG	2070	0.10202217	0.58298384	1.00000000	0.0289	0.1733	0
LNG	2075	0.10348662	0.59135212	1.00000000	0.0279	0.1675	0
LNG	2080	0.10480463	0.59888358	1.00000000	0.0271	0.1623	0
LNG	2085	0.10599083	0.60566189	1.00000000	0.0263	0.1576	0
LNG	2090	0.10705841	0.61176236	1.00000000	0.0256	0.1534	0
LNG	2095	0.10801924	0.61725279	1.00000000	0.0249	0.1496	0
Oil	2020	0.21000000	0.40000000	1.00000000	0.1900	0.3000	0
Oil	2022	0.22400000	0.42666667	1.00000000	0.1783	0.2815	0
Oil	2025	0.23660000	0.45066667	1.00000000	0.1678	0.2649	0
Oil	2030	0.24794000	0.47226667	1.00000000	0.1583	0.2500	0
Oil	2035	0.25814600	0.49170667	1.00000000	0.1498	0.2365	0
Oil	2040	0.26733140	0.50920267	1.00000000	0.1421	0.2244	0
Oil	2045	0.27559826	0.52494907	1.00000000	0.1352	0.2135	0
Oil	2050	0.28303843	0.53912083	1.00000000	0.1290	0.2037	0
Oil	2055	0.28973459	0.55187541	1.00000000	0.1234	0.1949	0
Oil	2060	0.29576113	0.56335454	1.00000000	0.1184	0.1869	0
Oil	2065	0.30118502	0.57368575	1.00000000	0.1138	0.1798	0
Oil	2070	0.30606652	0.58298384	1.00000000	0.1098	0.1733	0
Oil	2075	0.31045986	0.59135212	1.00000000	0.1061	0.1675	0
Oil	2080	0.31441388	0.59888358	1.00000000	0.1028	0.1623	0
Oil	2085	0.31797249	0.60566189	1.00000000	0.0998	0.1576	0
Oil	2090	0.32117524	0.61176236	1.00000000	0.0972	0.1534	0
Oil	2095	0.32405772	0.61725279	1.00000000	0.0947	0.1496	0
