GENERATION_PROJECT	build_year	gen_predetermined_cap
Oahu_AES	1992	185.0
Oahu_Airport_DSG	2013	8.0
Oahu_CIP_CT	2009	113.0
Oahu_CentralTrackingPV_PV_01	2016	27.6
Oahu_CentralTrackingPV_PV_04	2012	5.0
Oahu_DistPV_Oahu_DistPV_1	2016	48.8049323655
Oahu_DistPV_Oahu_DistPV_10	2016	62.5271762246
Oahu_DistPV_Oahu_DistPV_11	2016	57.1733128564
Oahu_DistPV_Oahu_DistPV_2	2016	10.1851001091
Oahu_DistPV_Oahu_DistPV_3	2016	7.7826553982
Oahu_DistPV_Oahu_DistPV_5	2016	33.8356203046
Oahu_DistPV_Oahu_DistPV_6	2016	32.8812867405
Oahu_DistPV_Oahu_DistPV_7	2016	99.9471462338
Oahu_DistPV_Oahu_DistPV_8	2016	43.1751472647
Oahu_DistPV_Oahu_DistPV_9	2016	47.6876225025
Oahu_H-Power	1989	73.0
Oahu_Kahe_4	1972	85.3
Oahu_Kahe_5	1974	134.3
Oahu_Kahe_6	1981	134.4
Oahu_Kalaeloa_CC1	1989	90.0
Oahu_Kalaeloa_CC2	1991	90.0
Oahu_Kalaeloa_CC3	1991	28.0
Oahu_OnshoreWind_OnWind_Kahuku	2011	30.0
Oahu_OnshoreWind_OnWind_Kawailoa	2012	69.0
Oahu_Waiau_10	1973	49.9
Oahu_Waiau_3	1947	46.6
Oahu_Waiau_4	1950	46.6
Oahu_Waiau_5	1959	54.5
Oahu_Waiau_6	1961	53.5
Oahu_Waiau_7	1966	82.9
Oahu_Waiau_8	1968	86.1
Oahu_Waiau_9	1973	52.9
Mines_Coal_Surface	1971	23.61368013
Mines_Coal_Surface	1972	23.61368013
Mines_Coal_Surface	1973	23.61368013
Mines_Coal_Surface	1974	23.61368013
Mines_Coal_Surface	1975	23.61368013
Mines_Coal_Surface	1976	23.61368013
Mines_Coal_Surface	1977	23.61368013
Mines_Coal_Surface	1978	23.61368013
Mines_Coal_Surface	1979	23.61368013
Mines_Coal_Surface	1980	23.61368013
Mines_Coal_Surface	1981	23.61368013
Mines_Coal_Surface	1982	23.61368013
Mines_Coal_Surface	1983	23.61368013
Mines_Coal_Surface	1984	6.227129025
Mines_Coal_Surface	1985	177.4145755
Mines_Coal_Surface	1986	1.854999293
Mines_Coal_Surface	1987	0.214323827
Mines_Coal_Surface	1988	0
Mines_Coal_Surface	1989	0.840083838
Mines_Coal_Surface	1990	13.4935266
Mines_Coal_Surface	1991	0.035548272
Mines_Coal_Surface	1992	0.003373348
Mines_Coal_Surface	1993	0.149868314
Mines_Coal_Surface	1994	0.517226436
Mines_Coal_Surface	1995	0.197643322
Mines_Coal_Surface	1996	0.065196487
Mines_Coal_Surface	1997	1.136149936
Mines_Coal_Surface	1998	5.989451962
Mines_Coal_Surface	1999	3.751721643
Mines_Coal_Surface	2000	3.456101979
Mines_Coal_Surface	2001	0.320540702
Mines_Coal_Surface	2002	0.776772146
Mines_Coal_Surface	2003	0.425376009
Mines_Coal_Surface	2004	8.776541375
Mines_Coal_Surface	2005	10.93333908
Mines_Coal_Surface	2006	4.416629132
Mines_Coal_Surface	2007	1.13362851
Mines_Coal_Surface	2008	10.34850832
Mines_Coal_Surface	2009	13.39595838
Mines_Coal_Surface	2010	15.79420538
Mines_Coal_Surface	2011	4.531715244
Mines_Coal_Surface	2012	4.077121603
Mines_Coal_Surface	2013	4.591212437
Mines_Coal_Surface	2014	8.019734589
Mines_Coal_Surface	2015	1.076457262
Mines_Coal_Surface	2016	0.538228631
Mines_Coal_Surface	2017	0.538228631
Mines_Coal_Underground	1971	8.061536895
Mines_Coal_Underground	1972	8.061536895
Mines_Coal_Underground	1973	8.061536895
Mines_Coal_Underground	1974	8.061536895
Mines_Coal_Underground	1975	8.061536895
Mines_Coal_Underground	1976	8.061536895
Mines_Coal_Underground	1977	8.061536895
Mines_Coal_Underground	1978	8.061536895
Mines_Coal_Underground	1979	8.061536895
Mines_Coal_Underground	1980	8.061536895
Mines_Coal_Underground	1981	8.061536895
Mines_Coal_Underground	1982	8.061536895
Mines_Coal_Underground	1983	8.061536895
Mines_Coal_Underground	1984	20.91146991
Mines_Coal_Underground	1985	0.128860836
Mines_Coal_Underground	1986	0.454650435
Mines_Coal_Underground	1987	0.232702894
Mines_Coal_Underground	1988	0
Mines_Coal_Underground	1989	0
Mines_Coal_Underground	1990	12.89844239
Mines_Coal_Underground	1991	7.408477069
Mines_Coal_Underground	1992	0.528721443
Mines_Coal_Underground	1993	6.34127472
Mines_Coal_Underground	1994	3.178586653
Mines_Coal_Underground	1995	0.034564269
Mines_Coal_Underground	1996	2.461010557
Mines_Coal_Underground	1997	0.477732905
Mines_Coal_Underground	1998	6.889459615
Mines_Coal_Underground	1999	1.010563387
Mines_Coal_Underground	2000	4.151455452
Mines_Coal_Underground	2001	7.146625225
Mines_Coal_Underground	2002	1.235989941
Mines_Coal_Underground	2003	3.421833571
Mines_Coal_Underground	2004	4.064853923
Mines_Coal_Underground	2005	8.999451786
Mines_Coal_Underground	2006	14.96338174
Mines_Coal_Underground	2007	7.423589773
Mines_Coal_Underground	2008	3.155298137
Mines_Coal_Underground	2009	19.1744493
Mines_Coal_Underground	2010	31.54199619
Mines_Coal_Underground	2011	19.16531854
Mines_Coal_Underground	2012	3.350692119
Mines_Coal_Underground	2013	8.242646321
Mines_Coal_Underground	2014	12.64477296
Mines_Coal_Underground	2015	5.460545606
Mines_Coal_Underground	2016	2.730272803
Mines_Coal_Underground	2017	2.730272803
NonHawaii_Coal_railroad	1980	22.13579931
NonHawaii_Coal_railroad	1981	17.21634327
NonHawaii_Coal_railroad	1982	12.76891127
NonHawaii_Coal_railroad	1983	15.65807513
NonHawaii_Coal_railroad	1984	20.50794758
NonHawaii_Coal_railroad	1985	23.47335566
NonHawaii_Coal_railroad	1986	18.73166983
NonHawaii_Coal_railroad	1987	15.07035496
NonHawaii_Coal_railroad	1988	18.04348223
NonHawaii_Coal_railroad	1989	17.49656237
NonHawaii_Coal_railroad	1990	16.55955093
NonHawaii_Coal_railroad	1991	15.13452774
NonHawaii_Coal_railroad	1992	15.54177319
NonHawaii_Coal_railroad	1993	17.56358672
NonHawaii_Coal_railroad	1994	20.11431347
NonHawaii_Coal_railroad	1995	24.17560859
NonHawaii_Coal_railroad	1996	24.16453419
NonHawaii_Coal_railroad	1997	24.40165257
NonHawaii_Coal_railroad	1998	27.72048861
NonHawaii_Coal_railroad	1999	25.15190775
NonHawaii_Coal_railroad	2000	22.46985401
NonHawaii_Coal_railroad	2001	19.71101724
NonHawaii_Coal_railroad	2002	20.24209586
NonHawaii_Coal_railroad	2003	20.52755241
NonHawaii_Coal_railroad	2004	21.27850404
NonHawaii_Coal_railroad	2005	21.10308957
NonHawaii_Coal_railroad	2006	27.08100247
NonHawaii_Coal_railroad	2007	28.57867108
NonHawaii_Coal_railroad	2008	31.28667784
NonHawaii_Coal_railroad	2009	30.22323962
NonHawaii_Coal_railroad	2010	29.32432042
NonHawaii_Coal_railroad	2011	34.11298571
NonHawaii_Coal_railroad	2012	38.91158969
NonHawaii_Coal_railroad	2013	37.25967029
NonHawaii_Coal_railroad	2014	42.30206875
NonHawaii_Coal_railroad	2015	48.06628476
NonHawaii_Coal_railroad	2016	37.63491634
NonHawaii_Coal_railroad	2017	37.63491634
NonHawaii_OilPipeline_Offshore	1955	0.701533647
NonHawaii_OilPipeline_Offshore	1956	0.701533647
NonHawaii_OilPipeline_Offshore	1957	0.701533647
NonHawaii_OilPipeline_Offshore	1958	0.701533647
NonHawaii_OilPipeline_Offshore	1959	0.701533647
NonHawaii_OilPipeline_Offshore	1960	3.351444786
NonHawaii_OilPipeline_Offshore	1961	3.351444786
NonHawaii_OilPipeline_Offshore	1962	3.351444786
NonHawaii_OilPipeline_Offshore	1963	3.351444786
NonHawaii_OilPipeline_Offshore	1964	3.351444786
NonHawaii_OilPipeline_Offshore	1965	3.351444786
NonHawaii_OilPipeline_Offshore	1966	3.351444786
NonHawaii_OilPipeline_Offshore	1967	3.351444786
NonHawaii_OilPipeline_Offshore	1968	3.351444786
NonHawaii_OilPipeline_Offshore	1969	3.351444786
NonHawaii_OilPipeline_Offshore	1970	5.010610797
NonHawaii_OilPipeline_Offshore	1971	5.010610797
NonHawaii_OilPipeline_Offshore	1972	5.010610797
NonHawaii_OilPipeline_Offshore	1973	5.010610797
NonHawaii_OilPipeline_Offshore	1974	5.010610797
NonHawaii_OilPipeline_Offshore	1975	5.010610797
NonHawaii_OilPipeline_Offshore	1976	5.010610797
NonHawaii_OilPipeline_Offshore	1977	5.010610797
NonHawaii_OilPipeline_Offshore	1978	5.010610797
NonHawaii_OilPipeline_Offshore	1979	5.010610797
NonHawaii_OilPipeline_Offshore	1980	4.941037195
NonHawaii_OilPipeline_Offshore	1981	4.941037195
NonHawaii_OilPipeline_Offshore	1982	4.941037195
NonHawaii_OilPipeline_Offshore	1983	4.941037195
NonHawaii_OilPipeline_Offshore	1984	4.941037195
NonHawaii_OilPipeline_Offshore	1985	4.941037195
NonHawaii_OilPipeline_Offshore	1986	4.941037195
NonHawaii_OilPipeline_Offshore	1987	4.941037195
NonHawaii_OilPipeline_Offshore	1988	4.941037195
NonHawaii_OilPipeline_Offshore	1989	4.941037195
NonHawaii_OilPipeline_Offshore	1990	10.04823295
NonHawaii_OilPipeline_Offshore	1991	10.04823295
NonHawaii_OilPipeline_Offshore	1992	10.04823295
NonHawaii_OilPipeline_Offshore	1993	10.04823295
NonHawaii_OilPipeline_Offshore	1994	10.04823295
NonHawaii_OilPipeline_Offshore	1995	10.04823295
NonHawaii_OilPipeline_Offshore	1996	10.04823295
NonHawaii_OilPipeline_Offshore	1997	10.04823295
NonHawaii_OilPipeline_Offshore	1998	10.04823295
NonHawaii_OilPipeline_Offshore	1999	10.04823295
NonHawaii_OilPipeline_Offshore	2000	15.08487315
NonHawaii_OilPipeline_Offshore	2001	15.08487315
NonHawaii_OilPipeline_Offshore	2002	15.08487315
NonHawaii_OilPipeline_Offshore	2003	15.08487315
NonHawaii_OilPipeline_Offshore	2004	15.08487315
NonHawaii_OilPipeline_Offshore	2005	15.08487315
NonHawaii_OilPipeline_Offshore	2006	15.08487315
NonHawaii_OilPipeline_Offshore	2007	15.08487315
NonHawaii_OilPipeline_Offshore	2008	15.08487315
NonHawaii_OilPipeline_Offshore	2009	15.08487315
NonHawaii_OilPipeline_Offshore	2010	2.304394266
NonHawaii_OilPipeline_Offshore	2011	2.304394266
NonHawaii_OilPipeline_Offshore	2012	2.304394266
NonHawaii_OilPipeline_Offshore	2013	2.304394266
NonHawaii_OilPipeline_Offshore	2014	2.304394266
NonHawaii_OilPipeline_Offshore	2015	2.304394266
NonHawaii_OilPipeline_Offshore	2016	2.304394266
NonHawaii_OilPipeline_Offshore	2017	2.304394266
NonHawaii_OilPipeline_Onshore	1955	22.25757645
NonHawaii_OilPipeline_Onshore	1956	22.25757645
NonHawaii_OilPipeline_Onshore	1957	22.25757645
NonHawaii_OilPipeline_Onshore	1958	22.25757645
NonHawaii_OilPipeline_Onshore	1959	22.25757645
NonHawaii_OilPipeline_Onshore	1960	23.94290183
NonHawaii_OilPipeline_Onshore	1961	23.94290183
NonHawaii_OilPipeline_Onshore	1962	23.94290183
NonHawaii_OilPipeline_Onshore	1963	23.94290183
NonHawaii_OilPipeline_Onshore	1964	23.94290183
NonHawaii_OilPipeline_Onshore	1965	23.94290183
NonHawaii_OilPipeline_Onshore	1966	23.94290183
NonHawaii_OilPipeline_Onshore	1967	23.94290183
NonHawaii_OilPipeline_Onshore	1968	23.94290183
NonHawaii_OilPipeline_Onshore	1969	23.94290183
NonHawaii_OilPipeline_Onshore	1970	22.35575212
NonHawaii_OilPipeline_Onshore	1971	22.35575212
NonHawaii_OilPipeline_Onshore	1972	22.35575212
NonHawaii_OilPipeline_Onshore	1973	22.35575212
NonHawaii_OilPipeline_Onshore	1974	22.35575212
NonHawaii_OilPipeline_Onshore	1975	22.35575212
NonHawaii_OilPipeline_Onshore	1976	22.35575212
NonHawaii_OilPipeline_Onshore	1977	22.35575212
NonHawaii_OilPipeline_Onshore	1978	22.35575212
NonHawaii_OilPipeline_Onshore	1979	22.35575212
NonHawaii_OilPipeline_Onshore	1980	11.70421391
NonHawaii_OilPipeline_Onshore	1981	11.70421391
NonHawaii_OilPipeline_Onshore	1982	11.70421391
NonHawaii_OilPipeline_Onshore	1983	11.70421391
NonHawaii_OilPipeline_Onshore	1984	11.70421391
NonHawaii_OilPipeline_Onshore	1985	11.70421391
NonHawaii_OilPipeline_Onshore	1986	11.70421391
NonHawaii_OilPipeline_Onshore	1987	11.70421391
NonHawaii_OilPipeline_Onshore	1988	11.70421391
NonHawaii_OilPipeline_Onshore	1989	11.70421391
NonHawaii_OilPipeline_Onshore	1990	14.17132389
NonHawaii_OilPipeline_Onshore	1991	14.17132389
NonHawaii_OilPipeline_Onshore	1992	14.17132389
NonHawaii_OilPipeline_Onshore	1993	14.17132389
NonHawaii_OilPipeline_Onshore	1994	14.17132389
NonHawaii_OilPipeline_Onshore	1995	14.17132389
NonHawaii_OilPipeline_Onshore	1996	14.17132389
NonHawaii_OilPipeline_Onshore	1997	14.17132389
NonHawaii_OilPipeline_Onshore	1998	14.17132389
NonHawaii_OilPipeline_Onshore	1999	14.17132389
NonHawaii_OilPipeline_Onshore	2000	11.90658151
NonHawaii_OilPipeline_Onshore	2001	11.90658151
NonHawaii_OilPipeline_Onshore	2002	11.90658151
NonHawaii_OilPipeline_Onshore	2003	11.90658151
NonHawaii_OilPipeline_Onshore	2004	11.90658151
NonHawaii_OilPipeline_Onshore	2005	11.90658151
NonHawaii_OilPipeline_Onshore	2006	11.90658151
NonHawaii_OilPipeline_Onshore	2007	11.90658151
NonHawaii_OilPipeline_Onshore	2008	11.90658151
NonHawaii_OilPipeline_Onshore	2009	11.90658151
NonHawaii_OilPipeline_Onshore	2010	40.07544339
NonHawaii_OilPipeline_Onshore	2011	40.07544339
NonHawaii_OilPipeline_Onshore	2012	40.07544339
NonHawaii_OilPipeline_Onshore	2013	40.07544339
NonHawaii_OilPipeline_Onshore	2014	40.07544339
NonHawaii_OilPipeline_Onshore	2015	40.07544339
NonHawaii_OilPipeline_Onshore	2016	40.07544339
NonHawaii_OilPipeline_Onshore	2017	40.07544339
Wells_Conventional_Oil	1976	13.42054742
Wells_Conventional_Oil	1977	25.76141933
Wells_Conventional_Oil	1978	38.87133385
Wells_Conventional_Oil	1979	21.5482722
Wells_Conventional_Oil	1980	13.43562668
Wells_Conventional_Oil	1981	16.19814835
Wells_Conventional_Oil	1982	15.01291799
Wells_Conventional_Oil	1983	13.57737179
Wells_Conventional_Oil	1984	15.7879923
Wells_Conventional_Oil	1985	14.70530094
Wells_Conventional_Oil	1986	15.12450456
Wells_Conventional_Oil	1987	38.39181317
Wells_Conventional_Oil	1988	8.803275934
Wells_Conventional_Oil	1989	7.111382203
Wells_Conventional_Oil	1990	9.355177097
Wells_Conventional_Oil	1991	12.52483897
Wells_Conventional_Oil	1992	7.111382203
Wells_Conventional_Oil	1993	8.453436945
Wells_Conventional_Oil	1994	7.542649233
Wells_Conventional_Oil	1995	7.795980914
Wells_Conventional_Oil	1996	8.69168936
Wells_Conventional_Oil	1997	15.26021796
Wells_Conventional_Oil	1998	7.58487118
Wells_Conventional_Oil	1999	7.452173632
Wells_Conventional_Oil	2000	9.940252647
Wells_Conventional_Oil	2001	9.442636844
Wells_Conventional_Oil	2002	8.471532065
Wells_Conventional_Oil	2003	10.22977457
Wells_Conventional_Oil	2004	10.81485012
Wells_Conventional_Oil	2005	13.26372304
Wells_Conventional_Oil	2006	15.08831432
Wells_Conventional_Oil	2007	15.37482039
Wells_Conventional_Oil	2008	21.10795761
Wells_Conventional_Oil	2009	14.78069728
Wells_Conventional_Oil	2010	22.15144287
Wells_Conventional_Oil	2011	25.20047061
Wells_Conventional_Oil	2012	23.46937078
Wells_Conventional_Oil	2013	22.29318798
Wells_Conventional_Oil	2014	20.3781211
Wells_Conventional_Oil	2015	10.6610416
Wells_Conventional_Oil	2016	5.531075047
Wells_Conventional_Oil	2017	1.019358433
Wells_Offshore_Oil	1976	5.084728751
Wells_Offshore_Oil	1977	4.454415401
Wells_Offshore_Oil	1978	5.196315325
Wells_Offshore_Oil	1979	3.76981669
Wells_Offshore_Oil	1980	3.999021544
Wells_Offshore_Oil	1981	5.482821393
Wells_Offshore_Oil	1982	5.139014111
Wells_Offshore_Oil	1983	5.654725035
Wells_Offshore_Oil	1984	5.310917752
Wells_Offshore_Oil	1985	4.626319042
Wells_Offshore_Oil	1986	4.798222683
Wells_Offshore_Oil	1987	3.655214262
Wells_Offshore_Oil	1988	4.170925185
