LOAD_ZONE	TIMEPOINT	zone_demand_mw
Oahu	2020020200	548.0473178
Oahu	2020020202	486.9382596
Oahu	2020020204	516.0405464
Oahu	2020020206	662.4095415
Oahu	2020020208	845.1992312
Oahu	2020020210	920.2362057
Oahu	2020020212	914.0498594
Oahu	2020020214	882.1230721
Oahu	2020020216	899.7216735
Oahu	2020020218	979.7672176
Oahu	2020020220	878.9784257
Oahu	2020020222	724.2275689
Oahu	2020040200	567.3954498
Oahu	2020040202	515.2057383
Oahu	2020040204	594.3479364
Oahu	2020040206	838.6584002
Oahu	2020040208	941.8141918
Oahu	2020040210	988.0690952
Oahu	2020040212	991.9456033
Oahu	2020040214	993.8209728
Oahu	2020040216	976.3023556
Oahu	2020040218	1008.20625
Oahu	2020040220	923.1635828
Oahu	2020040222	683.8274197
Oahu	2020060200	585.9088435
Oahu	2020060202	532.5756242
Oahu	2020060204	605.8173529
Oahu	2020060206	870.1620254
Oahu	2020060208	1020.407529
Oahu	2020060210	1090.298718
Oahu	2020060212	1116.530719
Oahu	2020060214	1125.187151
Oahu	2020060216	1087.256948
Oahu	2020060218	1050.458946
Oahu	2020060220	1011.876866
Oahu	2020060222	781.1856884
Oahu	2020080200	639.6308164
Oahu	2020080202	568.1273116
Oahu	2020080204	579.6195507
Oahu	2020080206	707.0863986
Oahu	2020080208	923.4151908
Oahu	2020080210	1007.199958
Oahu	2020080212	1015.776266
Oahu	2020080214	984.8901101
Oahu	2020080216	979.2183562
Oahu	2020080218	972.1399705
Oahu	2020080220	955.5706239
Oahu	2020080222	789.9449272
Oahu	2020100200	614.1191607
Oahu	2020100202	560.7059573
Oahu	2020100204	634.7823546
Oahu	2020100206	895.342089
Oahu	2020100208	1039.115299
Oahu	2020100210	1105.53018
Oahu	2020100212	1130.607367
Oahu	2020100214	1141.10469
Oahu	2020100216	1108.903612
Oahu	2020100218	1148.137291
Oahu	2020100220	1017.217097
Oahu	2020100222	783.4155425
Oahu	2020120200	602.3524909
Oahu	2020120202	549.4652563
Oahu	2020120204	635.5713777
Oahu	2020120206	918.6353367
Oahu	2020120208	1015.707728
Oahu	2020120210	1075.901994
Oahu	2020120212	1077.811563
Oahu	2020120214	1071.476625
Oahu	2020120216	1061.733916
Oahu	2020120218	1141.161922
Oahu	2020120220	1003.780881
Oahu	2020120222	766.3315335
Oahu	2022020600	533.9545117
Oahu	2022020602	484.2883151
Oahu	2022020604	559.2143952
Oahu	2022020606	849.0688561
Oahu	2022020608	905.1485202
Oahu	2022020610	953.8953485
Oahu	2022020612	982.4933613
Oahu	2022020614	977.4370025
Oahu	2022020616	975.7953259
Oahu	2022020618	1059.969598
Oahu	2022020620	934.7534093
Oahu	2022020622	714.1011374
Oahu	2022040600	510.6208061
Oahu	2022040602	454.0486256
Oahu	2022040604	503.3645899
Oahu	2022040606	675.762483
Oahu	2022040608	855.7888019
Oahu	2022040610	924.0169134
Oahu	2022040612	933.6370478
Oahu	2022040614	938.1680914
Oahu	2022040616	939.6237969
Oahu	2022040618	959.7725456
Oahu	2022040620	890.9863202
Oahu	2022040622	713.9041442
Oahu	2022060600	619.6500201
Oahu	2022060602	556.697171
Oahu	2022060604	625.6913448
Oahu	2022060606	878.9364028
Oahu	2022060608	1018.281993
Oahu	2022060610	1093.44882
Oahu	2022060612	1115.852202
Oahu	2022060614	1119.879841
Oahu	2022060616	1099.019539
Oahu	2022060618	1058.316966
Oahu	2022060620	1018.654069
Oahu	2022060622	798.7678591
Oahu	2022080600	607.8518051
Oahu	2022080602	556.5987078
Oahu	2022080604	630.9338084
Oahu	2022080606	887.6482577
Oahu	2022080608	1033.790279
Oahu	2022080610	1109.66866
Oahu	2022080612	1132.520805
Oahu	2022080614	1131.08701
Oahu	2022080616	1107.611087
Oahu	2022080618	1073.310893
Oahu	2022080620	1042.228588
Oahu	2022080622	798.0455508
Oahu	2022100600	626.6216683
Oahu	2022100602	560.4292867
Oahu	2022100604	578.3563344
Oahu	2022100606	714.5389446
Oahu	2022100608	899.5011819
Oahu	2022100610	972.4573301
Oahu	2022100612	980.2279063
Oahu	2022100614	943.4543758
Oahu	2022100616	936.8109827
Oahu	2022100618	991.6102245
Oahu	2022100620	901.1647021
Oahu	2022100622	773.47511
Oahu	2022120600	545.6760403
Oahu	2022120602	495.3203341
Oahu	2022120604	569.3052691
Oahu	2022120606	825.4286721
Oahu	2022120608	913.7837555
Oahu	2022120610	976.036073
Oahu	2022120612	994.9920411
Oahu	2022120614	985.656341
Oahu	2022120616	972.1837174
Oahu	2022120618	1055.865406
Oahu	2022120620	925.7680085
Oahu	2022120622	731.1636596
Oahu	2025021000	565.2838878
Oahu	2025021002	506.1539237
Oahu	2025021004	515.2034026
Oahu	2025021006	601.2390842
Oahu	2025021008	769.8422736
Oahu	2025021010	843.4310878
Oahu	2025021012	843.2086724
Oahu	2025021014	850.0842324
Oahu	2025021016	886.5146843
Oahu	2025021018	977.2621281
Oahu	2025021020	881.3782101
Oahu	2025021022	695.1108344
Oahu	2025041000	525.1325454
Oahu	2025041002	489.6121204
Oahu	2025041004	572.5031919
Oahu	2025041006	812.3191649
Oahu	2025041008	901.2566759
Oahu	2025041010	947.1916201
Oahu	2025041012	937.9601482
Oahu	2025041014	958.4250771
Oahu	2025041016	951.4483688
Oahu	2025041018	1011.164796
Oahu	2025041020	924.5122882
Oahu	2025041022	714.2209057
Oahu	2025061000	614.7879692
Oahu	2025061002	559.9148772
Oahu	2025061004	621.5321412
Oahu	2025061006	820.2563818
Oahu	2025061008	973.1771897
Oahu	2025061010	1035.128138
Oahu	2025061012	1051.144143
Oahu	2025061014	1050.94197
Oahu	2025061016	1027.504303
Oahu	2025061018	980.2752268
Oahu	2025061020	948.2329733
Oahu	2025061022	762.1477141
Oahu	2025081000	643.7361559
Oahu	2025081002	580.4505915
Oahu	2025081004	582.35149
Oahu	2025081006	657.6288466
Oahu	2025081008	831.3078459
Oahu	2025081010	915.1797296
Oahu	2025081012	926.1907713
Oahu	2025081014	930.1138969
Oahu	2025081016	951.1652273
Oahu	2025081018	966.6454355
Oahu	2025081020	952.4088773
Oahu	2025081022	778.0322689
Oahu	2025101000	622.411805
Oahu	2025101002	574.6164464
Oahu	2025101004	630.8242774
Oahu	2025101006	834.3513076
Oahu	2025101008	965.7758926
Oahu	2025101010	1020.932064
Oahu	2025101012	1046.725582
Oahu	2025101014	1044.935891
Oahu	2025101016	1008.707736
Oahu	2025101018	1030.87139
Oahu	2025101020	927.0501932
Oahu	2025101022	778.0626319
Oahu	2025121000	559.5407701
Oahu	2025121002	521.0375477
Oahu	2025121004	594.2522548
Oahu	2025121006	839.0530104
Oahu	2025121008	908.3445919
Oahu	2025121010	951.8224759
Oahu	2025121012	963.3593164
Oahu	2025121014	959.608001
Oahu	2025121016	956.6050233
Oahu	2025121018	1027.999738
Oahu	2025121020	915.4628093
Oahu	2025121022	720.975137
Oahu	2030021400	606.6290547
Oahu	2030021402	577.0664985
Oahu	2030021404	621.3388641
Oahu	2030021406	775.4771519
Oahu	2030021408	827.6012738
Oahu	2030021410	865.4766637
Oahu	2030021412	875.5624978
Oahu	2030021414	873.9258944
Oahu	2030021416	862.4567483
Oahu	2030021418	900.1568163
Oahu	2030021420	833.6021001
Oahu	2030021422	710.3707156
Oahu	2030041400	638.4191482
Oahu	2030041402	602.3427219
Oahu	2030041404	610.7854518
Oahu	2030041406	696.018051
Oahu	2030041408	813.8915492
Oahu	2030041410	852.351412
Oahu	2030041412	851.2278922
Oahu	2030041414	840.4017258
Oahu	2030041416	843.4476046
Oahu	2030041418	853.8776613
Oahu	2030041420	826.2374244
Oahu	2030041422	736.1405202
Oahu	2030061400	649.0310277
Oahu	2030061402	614.7015986
Oahu	2030061404	653.0705302
Oahu	2030061406	785.8941675
Oahu	2030061408	878.1017541
Oahu	2030061410	905.547127
Oahu	2030061412	911.1908085
Oahu	2030061414	912.2298978
Oahu	2030061416	899.1371499
Oahu	2030061418	888.2785194
Oahu	2030061420	877.8744657
Oahu	2030061422	752.0907838
Oahu	2030081400	663.2992222
Oahu	2030081402	627.8332718
Oahu	2030081404	664.2733834
Oahu	2030081406	818.9052525
Oahu	2030081408	901.6309802
Oahu	2030081410	938.5387494
Oahu	2030081412	950.6572569
Oahu	2030081414	952.5731547
Oahu	2030081416	938.8634698
Oahu	2030081418	921.7636438
Oahu	2030081420	907.0927992
Oahu	2030081422	771.3012526
Oahu	2030101400	662.123736
Oahu	2030101402	625.7160885
Oahu	2030101404	631.9117788
Oahu	2030101406	685.3152799
Oahu	2030101408	800.8378057
Oahu	2030101410	854.0919482
Oahu	2030101412	860.9500807
Oahu	2030101414	855.118036
Oahu	2030101416	867.9574926
Oahu	2030101418	926.1344467
Oahu	2030101420	861.6579489
Oahu	2030101422	744.7066455
Oahu	2030121400	887.4732192
Oahu	2030121402	608.2851207
Oahu	2030121404	608.2851207
Oahu	2030121406	608.2851207
Oahu	2030121408	856.0077667
Oahu	2030121410	879.627924
Oahu	2030121412	883.1479215
Oahu	2030121414	876.1469311
Oahu	2030121416	865.7428774
Oahu	2030121418	898.7214983
Oahu	2030121420	842.7916631
Oahu	2030121422	745.9600614
Oahu	2035021800	640.7373668
Oahu	2035021802	601.2388087
