LOAD_ZONE	TIMEPOINT	zone_demand_mw
Oahu	2017012600	545.8133819
Oahu	2017012602	536.7522976
Oahu	2017012604	706.3370785
Oahu	2017012606	867.1889601
Oahu	2017012608	958.7448977
Oahu	2017012610	988.7330812
Oahu	2017012612	991.5876706
Oahu	2017012614	975.0170651
Oahu	2017012616	1020.24296
Oahu	2017012618	998.7191054
Oahu	2017012620	856.2679185
Oahu	2017012622	651.8411444
Oahu	2017022600	527.0435648
Oahu	2017022602	500.5321347
Oahu	2017022604	553.9290403
Oahu	2017022606	680.2778154
Oahu	2017022608	825.6253925
Oahu	2017022610	847.8597702
Oahu	2017022612	849.0023335
Oahu	2017022614	866.0496936
Oahu	2017022616	912.722731
Oahu	2017022618	939.8812887
Oahu	2017022620	798.0321251
Oahu	2017022622	594.8892613
Oahu	2017032600	542.7400025
Oahu	2017032602	524.8564752
Oahu	2017032604	595.6345328
Oahu	2017032606	760.1366973
Oahu	2017032608	882.5361268
Oahu	2017032610	915.3391363
Oahu	2017032612	893.566624
Oahu	2017032614	874.5989817
Oahu	2017032616	885.4205843
Oahu	2017032618	895.0386602
Oahu	2017032620	783.3116749
Oahu	2017032622	615.0199036
Oahu	2017042600	501.1792622
Oahu	2017042602	507.316729
Oahu	2017042604	700.6517788
Oahu	2017042606	847.4957841
Oahu	2017042608	938.0409928
Oahu	2017042610	939.4666975
Oahu	2017042612	949.67892
Oahu	2017042614	967.5554624
Oahu	2017042616	966.7971272
Oahu	2017042618	981.9638309
Oahu	2017042620	826.7375927
Oahu	2017042622	616.8608014
Oahu	2017052600	532.8732079
Oahu	2017052602	524.9261068
Oahu	2017052604	702.0700678
Oahu	2017052606	857.4216651
Oahu	2017052608	936.5247282
Oahu	2017052610	964.5435594
Oahu	2017052612	970.2328262
Oahu	2017052614	967.9849478
Oahu	2017052616	942.015117
Oahu	2017052618	971.1578875
Oahu	2017052620	818.2829144
Oahu	2017052622	613.4483678
Oahu	2017062600	577.9733509
Oahu	2017062602	568.6710936
Oahu	2017062604	710.0652437
Oahu	2017062606	908.9613564
Oahu	2017062608	1006.655146
Oahu	2017062610	1043.520431
Oahu	2017062612	1048.677085
Oahu	2017062614	1048.262494
Oahu	2017062616	1000.628948
Oahu	2017062618	1005.411496
Oahu	2017062620	873.5319588
Oahu	2017062622	666.9209828
Oahu	2017072600	584.5145527
Oahu	2017072602	575.9010043
Oahu	2017072604	731.3222332
Oahu	2017072606	911.0125107
Oahu	2017072608	1018.014993
Oahu	2017072610	1059.968631
Oahu	2017072612	1076.310369
Oahu	2017072614	1078.379281
Oahu	2017072616	1043.547244
Oahu	2017072618	1062.196597
Oahu	2017072620	917.5173224
Oahu	2017072622	700.2101105
Oahu	2017082600	598.3169512
Oahu	2017082602	572.1190255
Oahu	2017082604	612.2400049
Oahu	2017082606	744.180206
Oahu	2017082608	888.3649777
Oahu	2017082610	923.1169465
Oahu	2017082612	931.1452525
Oahu	2017082614	938.789207
Oahu	2017082616	954.9265402
Oahu	2017082618	993.0759593
Oahu	2017082620	880.7614456
Oahu	2017082622	677.1635683
Oahu	2017092600	579.5711993
Oahu	2017092602	578.6959182
Oahu	2017092604	759.1818893
Oahu	2017092606	933.7994458
Oahu	2017092608	1045.526552
Oahu	2017092610	1080.030283
Oahu	2017092612	1096.948986
Oahu	2017092614	1088.40513
Oahu	2017092616	1055.781147
Oahu	2017092618	1074.470324
Oahu	2017092620	901.8916902
Oahu	2017092622	680.3672477
Oahu	2017102600	591.3301835
Oahu	2017102602	582.4424556
Oahu	2017102604	738.6493826
Oahu	2017102606	906.0797074
Oahu	2017102608	1005.178959
Oahu	2017102610	1036.877345
Oahu	2017102612	1048.09056
Oahu	2017102614	1034.298956
Oahu	2017102616	993.8444155
Oahu	2017102618	967.2217159
Oahu	2017102620	860.7717104
Oahu	2017102622	694.5648553
Oahu	2017112600	569.2668249
Oahu	2017112602	545.2066708
Oahu	2017112604	622.5492762
Oahu	2017112606	794.5111819
Oahu	2017112608	920.550999
Oahu	2017112610	938.8124307
Oahu	2017112612	927.03602
Oahu	2017112614	924.5990984
Oahu	2017112616	944.5913017
Oahu	2017112618	911.4899147
Oahu	2017112620	817.9845369
Oahu	2017112622	666.2434591
Oahu	2017122600	534.6066747
Oahu	2017122602	532.8473469
Oahu	2017122604	720.2370438
Oahu	2017122606	854.3208008
Oahu	2017122608	929.0118177
Oahu	2017122610	958.6879766
Oahu	2017122612	960.2248889
Oahu	2017122614	950.5484629
Oahu	2017122616	999.2842114
Oahu	2017122618	975.8060603
Oahu	2017122620	839.7203182
Oahu	2017122622	631.0163915
