GENERATION_PROJECT	timepoint	gen_max_capacity_factor
Oahu_CentralTrackingPV_PV_01	2017012600	0
Oahu_CentralTrackingPV_PV_01	2017012602	0
Oahu_CentralTrackingPV_PV_01	2017012604	0
Oahu_CentralTrackingPV_PV_01	2017012606	0
Oahu_CentralTrackingPV_PV_01	2017012608	0.555906
Oahu_CentralTrackingPV_PV_01	2017012610	0.950721
Oahu_CentralTrackingPV_PV_01	2017012612	0.910849
Oahu_CentralTrackingPV_PV_01	2017012614	0.636015
Oahu_CentralTrackingPV_PV_01	2017012616	0.407929
Oahu_CentralTrackingPV_PV_01	2017012618	0
Oahu_CentralTrackingPV_PV_01	2017012620	0
Oahu_CentralTrackingPV_PV_01	2017012622	0
Oahu_CentralTrackingPV_PV_01	2017022600	0
Oahu_CentralTrackingPV_PV_01	2017022602	0
Oahu_CentralTrackingPV_PV_01	2017022604	0
Oahu_CentralTrackingPV_PV_01	2017022606	0
Oahu_CentralTrackingPV_PV_01	2017022608	0.754767
Oahu_CentralTrackingPV_PV_01	2017022610	0.999677
Oahu_CentralTrackingPV_PV_01	2017022612	0.778724
Oahu_CentralTrackingPV_PV_01	2017022614	0.769357
Oahu_CentralTrackingPV_PV_01	2017022616	0.563616
Oahu_CentralTrackingPV_PV_01	2017022618	0
Oahu_CentralTrackingPV_PV_01	2017022620	0
Oahu_CentralTrackingPV_PV_01	2017022622	0
Oahu_CentralTrackingPV_PV_01	2017032600	0
Oahu_CentralTrackingPV_PV_01	2017032602	0
Oahu_CentralTrackingPV_PV_01	2017032604	0
Oahu_CentralTrackingPV_PV_01	2017032606	0
Oahu_CentralTrackingPV_PV_01	2017032608	0.655177
Oahu_CentralTrackingPV_PV_01	2017032610	0.934214
Oahu_CentralTrackingPV_PV_01	2017032612	0.853238
Oahu_CentralTrackingPV_PV_01	2017032614	0.51938
Oahu_CentralTrackingPV_PV_01	2017032616	0.158602
Oahu_CentralTrackingPV_PV_01	2017032618	0.00999833
Oahu_CentralTrackingPV_PV_01	2017032620	0
Oahu_CentralTrackingPV_PV_01	2017032622	0
Oahu_CentralTrackingPV_PV_01	2017042600	0
Oahu_CentralTrackingPV_PV_01	2017042602	0
Oahu_CentralTrackingPV_PV_01	2017042604	0
Oahu_CentralTrackingPV_PV_01	2017042606	0.0705568
Oahu_CentralTrackingPV_PV_01	2017042608	0.955996
Oahu_CentralTrackingPV_PV_01	2017042610	0.9748
Oahu_CentralTrackingPV_PV_01	2017042612	0.988001
Oahu_CentralTrackingPV_PV_01	2017042614	0.791036
Oahu_CentralTrackingPV_PV_01	2017042616	0.361064
Oahu_CentralTrackingPV_PV_01	2017042618	0.00205519
Oahu_CentralTrackingPV_PV_01	2017042620	0
Oahu_CentralTrackingPV_PV_01	2017042622	0
Oahu_CentralTrackingPV_PV_01	2017052600	0
Oahu_CentralTrackingPV_PV_01	2017052602	0
Oahu_CentralTrackingPV_PV_01	2017052604	0
Oahu_CentralTrackingPV_PV_01	2017052606	0.162577
Oahu_CentralTrackingPV_PV_01	2017052608	0.92285
Oahu_CentralTrackingPV_PV_01	2017052610	0.93682
Oahu_CentralTrackingPV_PV_01	2017052612	0.998021
Oahu_CentralTrackingPV_PV_01	2017052614	0.874973
Oahu_CentralTrackingPV_PV_01	2017052616	0.978217
Oahu_CentralTrackingPV_PV_01	2017052618	0.137754
Oahu_CentralTrackingPV_PV_01	2017052620	0
Oahu_CentralTrackingPV_PV_01	2017052622	0
Oahu_CentralTrackingPV_PV_01	2017062600	0
Oahu_CentralTrackingPV_PV_01	2017062602	0
Oahu_CentralTrackingPV_PV_01	2017062604	0
Oahu_CentralTrackingPV_PV_01	2017062606	0.142795
Oahu_CentralTrackingPV_PV_01	2017062608	0.96005
