GENERATION_PROJECT	gen_load_zone	gen_tech	gen_connect_cost_per_mw	gen_capacity_limit_mw	gen_unit_size	gen_max_age	gen_scheduled_outage_rate	gen_forced_outage_rate	gen_is_variable	gen_is_baseload	gen_is_cogen	gen_non_cycling	gen_variable_om	gen_energy_source	gen_full_load_heat_rate	gen_hawaii_share
Oahu_AES	Oahu	AES	0	185	185	61	0	0	0	0	0	1	2	multiple	.	1
Oahu_Airport_DSG	Oahu	Airport_DSG	0	8	8	61	0	0	0	0	0	0	37.46	multiple	.	1
Oahu_CC_152	Oahu	CC_152	154728.8593	1505.86	150.586	30	0.05	0	0	0	0	0	4.49	multiple	.	1
Oahu_CIP_CT	Oahu	CIP_CT	0	113	113	61	0	0	0	0	0	0	40.76	multiple	.	1
Oahu_CentralTrackingPV_PV_01	Oahu	CentralTrackingPV	445105.1803	272.0660706	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_CentralTrackingPV_PV_02	Oahu	CentralTrackingPV	440661.3106	235.3865814	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_CentralTrackingPV_PV_03	Oahu	CentralTrackingPV	436439.6647	74.07865143	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_CentralTrackingPV_PV_04	Oahu	CentralTrackingPV	429075.077	246.034668	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_CentralTrackingPV_PV_05	Oahu	CentralTrackingPV	424813.6682	34.18905258	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_CentralTrackingPV_PV_06	Oahu	CentralTrackingPV	416193.3845	5.4006567	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_CentralTrackingPV_PV_07	Oahu	CentralTrackingPV	425997.1096	382.3453979	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_CentralTrackingPV_PV_08	Oahu	CentralTrackingPV	432119.4312	728.0083008	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_CentralTrackingPV_PV_09	Oahu	CentralTrackingPV	448641.5462	338.2702332	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_CentralTrackingPV_PV_10	Oahu	CentralTrackingPV	438034.536	1248.960327	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_CentralTrackingPV_PV_11	Oahu	CentralTrackingPV	445272.6925	346.3918762	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_CentralTrackingPV_PV_12	Oahu	CentralTrackingPV	449881.8643	246.9242401	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_CentralTrackingPV_PV_13	Oahu	CentralTrackingPV	448572.7772	489.4092102	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_CentralTrackingPV_PV_14	Oahu	CentralTrackingPV	438991.0376	103.3406906	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_CentralTrackingPV_PV_15	Oahu	CentralTrackingPV	428848.298	252.4786224	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_CentralTrackingPV_PV_16	Oahu	CentralTrackingPV	434037.3486	254.3767853	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_CentralTrackingPV_PV_17	Oahu	CentralTrackingPV	438922.3301	8.011867523	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_CentralTrackingPV_PV_18	Oahu	CentralTrackingPV	429886.5016	0.4930287	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_DistPV_Oahu_DistPV_0	Oahu	DistPV	0	180.707901	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_DistPV_Oahu_DistPV_1	Oahu	DistPV	0	204.5035706	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_DistPV_Oahu_DistPV_10	Oahu	DistPV	0	262.0028381	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_DistPV_Oahu_DistPV_11	Oahu	DistPV	0	239.5689545	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_DistPV_Oahu_DistPV_12	Oahu	DistPV	0	225.6414032	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_DistPV_Oahu_DistPV_13	Oahu	DistPV	0	268.2033691	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_DistPV_Oahu_DistPV_14	Oahu	DistPV	0	168.3127899	.	25	0	0	1	0	0	0	0	SUN	.	1
Oahu_DistPV_Oahu_DistPV_15	Oahu	DistPV	0	152.342926	.	25	0	0	1	0	0	0	0	SUN	.	1
