LOAD_ZONE	TIMEPOINT	zone_demand_mw
Oahu	2018012600	584.6768851
Oahu	2018012602	524.8563983
Oahu	2018012604	583.7544849
Oahu	2018012606	790.2241123
Oahu	2018012608	960.8778349
Oahu	2018012610	1049.382531
Oahu	2018012612	1062.903333
Oahu	2018012614	1053.364472
Oahu	2018012616	1041.935909
Oahu	2018012618	1116.278415
Oahu	2018012620	986.1310728
Oahu	2018012622	780.7639316
Oahu	2018022600	548.0473178
Oahu	2018022602	486.9382596
Oahu	2018022604	516.0405464
Oahu	2018022606	662.4095415
Oahu	2018022608	845.1992312
Oahu	2018022610	920.2362057
Oahu	2018022612	914.0498594
Oahu	2018022614	882.1230721
Oahu	2018022616	899.7216735
Oahu	2018022618	979.7672176
Oahu	2018022620	878.9784257
Oahu	2018022622	724.2275689
Oahu	2018032600	551.7632283
Oahu	2018032602	495.7673211
Oahu	2018032604	560.5034768
Oahu	2018032606	828.1208587
Oahu	2018032608	950.0228285
Oahu	2018032610	1005.54631
Oahu	2018032612	1020.113437
Oahu	2018032614	1021.67702
Oahu	2018032616	989.6182743
Oahu	2018032618	1004.219043
Oahu	2018032620	907.1204046
Oahu	2018032622	731.0897787
Oahu	2018042600	567.3954498
Oahu	2018042602	515.2057383
Oahu	2018042604	594.3479364
Oahu	2018042606	838.6584002
Oahu	2018042608	941.8141918
Oahu	2018042610	988.0690952
Oahu	2018042612	991.9456033
Oahu	2018042614	993.8209728
Oahu	2018042616	976.3023556
Oahu	2018042618	1008.20625
Oahu	2018042620	923.1635828
Oahu	2018042622	683.8274197
Oahu	2018052600	556.7689058
Oahu	2018052602	506.7684971
Oahu	2018052604	565.9028308
Oahu	2018052606	849.7858327
Oahu	2018052608	960.8665752
Oahu	2018052610	1017.267487
Oahu	2018052612	1039.101219
Oahu	2018052614	1041.159678
Oahu	2018052616	1017.661164
Oahu	2018052618	1034.624265
Oahu	2018052620	966.513436
Oahu	2018052622	741.4722909
Oahu	2018062600	585.9088435
Oahu	2018062602	532.5756242
Oahu	2018062604	605.8173529
Oahu	2018062606	870.1620254
Oahu	2018062608	1020.407529
Oahu	2018062610	1090.298718
Oahu	2018062612	1116.530719
Oahu	2018062614	1125.187151
Oahu	2018062616	1087.256948
Oahu	2018062618	1050.458946
Oahu	2018062620	1011.876866
Oahu	2018062622	781.1856884
Oahu	2018072600	592.6859417
Oahu	2018072602	537.4661964
Oahu	2018072604	609.5814852
Oahu	2018072606	845.7475941
Oahu	2018072608	1002.53174
Oahu	2018072610	1085.468256
Oahu	2018072612	1110.260397
Oahu	2018072614	1107.796864
Oahu	2018072616	1088.550385
Oahu	2018072618	1049.731169
Oahu	2018072620	1027.807497
Oahu	2018072622	806.1747363
Oahu	2018082600	639.6308164
Oahu	2018082602	568.1273116
Oahu	2018082604	579.6195507
Oahu	2018082606	707.0863986
Oahu	2018082608	923.4151908
Oahu	2018082610	1007.199958
Oahu	2018082612	1015.776266
Oahu	2018082614	984.8901101
Oahu	2018082616	979.2183562
Oahu	2018082618	972.1399705
Oahu	2018082620	955.5706239
Oahu	2018082622	789.9449272
Oahu	2018092600	639.1992862
Oahu	2018092602	565.407886
Oahu	2018092604	571.3809338
Oahu	2018092606	648.3444708
Oahu	2018092608	851.7993909
Oahu	2018092610	942.0137719
Oahu	2018092612	955.9509063
Oahu	2018092614	964.6124745
Oahu	2018092616	972.9138706
Oahu	2018092618	984.0613536
Oahu	2018092620	937.1431417
