GENERATION_PROJECT	build_year	gen_overnight_cost	gen_fixed_om
Oahu_Waiau_3	1947	0	0	649
Oahu_Waiau_4	1950	0	0	650
Oahu_Waiau_5	1959	0	0	651
Oahu_Waiau_6	1961	0	0	652
Oahu_Waiau_7	1966	0	0	653
Oahu_Waiau_8	1968	0	0	654
Oahu_Kahe_4	1972	0	0	311
Oahu_Waiau_10	1973	0	0	648
Oahu_Waiau_9	1973	0	0	655
Oahu_Kahe_5	1974	0	0	312
Oahu_Kahe_6	1981	0	0	313
Oahu_H-Power	1989	0	0	289
Oahu_Kalaeloa_CC1	1989	0	0	314
Oahu_Kalaeloa_CC2	1991	0	0	315
Oahu_Kalaeloa_CC3	1991	0	0	316
Oahu_AES	1992	0	0	1
Oahu_CIP_CT	2009	0	0	10
Oahu_OnshoreWind_OnWind_Kahuku	2011	0	0	632
Oahu_CentralTrackingPV_PV_04	2012	0	0	33
Oahu_OnshoreWind_OnWind_Kawailoa	2012	0	0	640
Oahu_Airport_DSG	2013	0	0	2
Oahu_CentralTrackingPV_PV_01	2016	0	0	11
Oahu_DistPV_Oahu_DistPV_1	2016	0	0	146
Oahu_DistPV_Oahu_DistPV_10	2016	0	0	154
Oahu_DistPV_Oahu_DistPV_11	2016	0	0	162
Oahu_DistPV_Oahu_DistPV_2	2016	0	0	226
Oahu_DistPV_Oahu_DistPV_3	2016	0	0	234
Oahu_DistPV_Oahu_DistPV_5	2016	0	0	249
Oahu_DistPV_Oahu_DistPV_6	2016	0	0	257
Oahu_DistPV_Oahu_DistPV_7	2016	0	0	265
Oahu_DistPV_Oahu_DistPV_8	2016	0	0	273
Oahu_DistPV_Oahu_DistPV_9	2016	0	0	281
Oahu_CC_152	2020	1622023.114	17452.35281
Oahu_CC_152	2022	1608297.412	17452.35281
Oahu_CC_152	2025	1583249.603	17452.35281
Oahu_CC_152	2030	1550966.324	17452.35281
Oahu_CC_152	2035	1526913.339	17452.35281
Oahu_CC_152	2040	1510660.103	17452.35281
Oahu_CC_152	2045	1511097.203	17452.35281
Oahu_CC_152	2050	1480875.259	17452.35281
