Projects	Period	extraction_offshore_share_ub	extraction_shale_share_ub	extraction_surface_ub	extraction_offshore_share_lb	extraction_shale_share_lb	extraction_surface_lb
Coal	2045	1	1	0.79504054	0	0	0.4555
Coal	2050	1	1	0.80816806	0	0	0.4345
Coal	2055	1	1	0.81998284	0	0	0.4157
Coal	2060	1	1	0.83061613	0	0	0.3987
Coal	2065	1	1	0.8401861	0	0	0.3835
Coal	2070	1	1	0.84879907	0	0	0.3697
Coal	2075	1	1	0.85655074	0	0	0.3574
Coal	2080	1	1	0.86352724	0	0	0.3463
Coal	2085	1	1	0.8698061	0	0	0.3363
Coal	2090	1	1	0.87545707	0	0	0.3272
Coal	2095	1	1	0.88054294	0	0	0.3191
LNG	2045	0.09186609	0.52494907	1	0.0356	0.2135	0
LNG	2050	0.09434614	0.53912083	1	0.0339	0.2037	0
LNG	2055	0.0965782	0.55187541	1	0.0325	0.1949	0
LNG	2060	0.09858704	0.56335454	1	0.0312	0.1869	0
LNG	2065	0.10039501	0.57368575	1	0.03	0.1798	0
LNG	2070	0.10202217	0.58298384	1	0.0289	0.1733	0
LNG	2075	0.10348662	0.59135212	1	0.0279	0.1675	0
LNG	2080	0.10480463	0.59888358	1	0.0271	0.1623	0
LNG	2085	0.10599083	0.60566189	1	0.0263	0.1576	0
LNG	2090	0.10705841	0.61176236	1	0.0256	0.1534	0
LNG	2095	0.10801924	0.61725279	1	0.0249	0.1496	0
Oil	2045	0.27559826	0.52494907	1	0.1352	0.2135	0
Oil	2050	0.28303843	0.53912083	1	0.129	0.2037	0
Oil	2055	0.28973459	0.55187541	1	0.1234	0.1949	0
Oil	2060	0.29576113	0.56335454	1	0.1184	0.1869	0
Oil	2065	0.30118502	0.57368575	1	0.1138	0.1798	0
Oil	2070	0.30606652	0.58298384	1	0.1098	0.1733	0
Oil	2075	0.31045986	0.59135212	1	0.1061	0.1675	0
Oil	2080	0.31441388	0.59888358	1	0.1028	0.1623	0
Oil	2085	0.31797249	0.60566189	1	0.0998	0.1576	0
Oil	2090	0.32117524	0.61176236	1	0.0972	0.1534	0
Oil	2095	0.32405772	0.61725279	1	0.0947	0.1496	0
