GENERATION_PROJECT	build_year	gen_overnight_cost	gen_fixed_om
Oahu_Waiau_3	1947	0	0
Oahu_Waiau_4	1950	0	0
Oahu_Waiau_5	1959	0	0
Oahu_Waiau_6	1961	0	0
Oahu_Waiau_7	1966	0	0
Oahu_Waiau_8	1968	0	0
Oahu_Kahe_4	1972	0	0
Oahu_Waiau_10	1973	0	0
Oahu_Waiau_9	1973	0	0
Oahu_Kahe_5	1974	0	0
Oahu_Kahe_6	1981	0	0
Oahu_H-Power	1989	0	0
Oahu_Kalaeloa_CC1	1989	0	0
Oahu_Kalaeloa_CC2	1991	0	0
Oahu_Kalaeloa_CC3	1991	0	0
Oahu_AES	1992	0	0
Oahu_CIP_CT	2009	0	0
Oahu_OnshoreWind_OnWind_Kahuku	2011	0	0
Oahu_CentralTrackingPV_PV_04	2012	0	0
Oahu_OnshoreWind_OnWind_Kawailoa	2012	0	0
Oahu_Airport_DSG	2013	0	0
Oahu_CentralTrackingPV_PV_01	2016	0	0
Oahu_DistPV_Oahu_DistPV_1	2016	0	0
Oahu_DistPV_Oahu_DistPV_10	2016	0	0
Oahu_DistPV_Oahu_DistPV_11	2016	0	0
Oahu_DistPV_Oahu_DistPV_2	2016	0	0
Oahu_DistPV_Oahu_DistPV_3	2016	0	0
Oahu_DistPV_Oahu_DistPV_5	2016	0	0
Oahu_DistPV_Oahu_DistPV_6	2016	0	0
Oahu_DistPV_Oahu_DistPV_7	2016	0	0
Oahu_DistPV_Oahu_DistPV_8	2016	0	0
Oahu_DistPV_Oahu_DistPV_9	2016	0	0
Oahu_CC_152	2045	1511097.203	17452.35281
Oahu_CC_152	2050	1480875.259	17452.35281
Oahu_CC_152	2055	1451257.754	17452.35281
Oahu_CC_152	2060	1422232.598	17452.35281
Oahu_CC_152	2065	1393787.947	17452.35281
Oahu_CC_152	2070	1365912.188	17452.35281
Oahu_CC_152	2075	1338593.944	17452.35281
Oahu_CC_152	2080	1311822.065	17452.35281
Oahu_CC_152	2085	1285585.624	17452.35281
Oahu_CC_152	2090	1259873.911	17452.35281
Oahu_CC_152	2095	1234676.433	17452.35281
