GENERATION_PROJECT	build_year	gen_predetermined_cap
Oahu_Waiau_3	1947	46.6
Oahu_Waiau_4	1950	46.6
Hawaii_GasDistribution	1955	17.91850761
Hawaii_GasService	1955	23.15830444
Hawaii_OilPipeline_Onshore	1955	77.0863836
NonHawaii_OilPipeline_Offshore	1955	2.589928648
NonHawaii_OilPipeline_Onshore	1955	122.4193744
Oahu_Waiau_5	1959	54.5
Hawaii_GasDistribution	1960	60.72655866
Hawaii_GasService	1960	44.21196372
Hawaii_OilPipeline_Onshore	1960	2461.054173
NonHawaii_OilPipeline_Offshore	1960	12.37289602
NonHawaii_OilPipeline_Onshore	1960	131.6888687
Oahu_Waiau_6	1961	53.5
Hawaii_GasDistribution	1965	60.72655866
Hawaii_GasService	1965	44.21196372
Hawaii_OilPipeline_Onshore	1965	2461.054173
NonHawaii_OilPipeline_Offshore	1965	12.37289602
NonHawaii_OilPipeline_Onshore	1965	131.6888687
Oahu_Waiau_7	1966	82.9
Oahu_Waiau_8	1968	86.1
Hawaii_GasDistribution	1970	36.76975945
Hawaii_GasService	1970	52.61612897
Hawaii_GasTransmission_Onshore	1970	69.07894737
Hawaii_OilPipeline_Onshore	1970	1162.95754
Mines_Coal_Surface	1970	100.550183
Mines_Coal_Underground	1970	34.3270937
NonHawaii_OilPipeline_Offshore	1970	18.49822102
NonHawaii_OilPipeline_Onshore	1970	122.9593525
Oahu_Kahe_4	1972	85.3
Oahu_Waiau_10	1973	49.9
Oahu_Waiau_9	1973	52.9
Oahu_Kahe_5	1974	134.3
Hawaii_GasDistribution	1975	36.76975945
Hawaii_GasService	1975	52.61612897
Hawaii_GasTransmission_Onshore	1975	69.07894737
Hawaii_OilPipeline_Onshore	1975	1162.95754
Mines_Coal_Surface	1975	125.6877288
Mines_Coal_Underground	1975	42.90886712
NonHawaii_OilPipeline_Offshore	1975	18.49822102
NonHawaii_OilPipeline_Onshore	1975	122.9593525
Wells_Conventional_Oil	1975	105.6511447
Wells_Offshore_Oil	1975	19.62924434
Hawaii_GasDistribution	1980	32.4987727
Hawaii_GasService	1980	67.29098357
Hawaii_OilPipeline_Onshore	1980	252.1961933
Mines_Coal_Surface	1980	107.1791684
Mines_Coal_Underground	1980	56.58804704
NonHawaii_Coal_railroad	1980	103.3829736
NonHawaii_OilPipeline_Offshore	1980	18.24136852
NonHawaii_OilPipeline_Onshore	1980	64.37459837
Wells_Conventional_Oil	1980	78.50738028
Wells_Offshore_Oil	1980	27.14056535
Oahu_Kahe_6	1981	134.4
Hawaii_GasDistribution	1985	32.4987727
Hawaii_GasService	1985	67.29098357
Hawaii_OilPipeline_Onshore	1985	252.1961933
Mines_Coal_Surface	1985	191.9608607
Mines_Coal_Underground	1985	0.868887052
NonHawaii_Coal_railroad	1985	108.6856085
NonHawaii_OilPipeline_Offshore	1985	18.24136852
NonHawaii_OilPipeline_Onshore	1985	64.37459837
Wells_Conventional_Oil	1985	89.24652194
Wells_Offshore_Oil	1985	22.78028829
Oahu_H-Power	1989	73
Oahu_Kalaeloa_CC1	1989	90
Hawaii_GasDistribution	1990	56.06283751
Hawaii_GasService	1990	52.77469813
Mines_Coal_Surface	1990	15.11588448
